
2024/12/21 (12:16:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/21 (12:17:35) | ===> btop++ v.1.4.0
2024/12/21 (12:17:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (23:12:47) | ===> btop++ v.1.4.0
2024/12/22 (23:12:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (23:51:22) | ===> btop++ v.1.4.0
2024/12/22 (23:51:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (12:28:12) | ===> btop++ v.1.4.0
2024/12/24 (12:28:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (13:04:39) | ===> btop++ v.1.4.0
2024/12/24 (13:04:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (17:56:25) | ===> btop++ v.1.4.0
2024/12/24 (17:56:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (20:02:21) | ===> btop++ v.1.4.0
2024/12/25 (20:02:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (21:08:27) | ===> btop++ v.1.4.0
2024/12/28 (21:08:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (15:17:12) | ===> btop++ v.1.4.0
2024/12/29 (15:17:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (15:32:07) | ===> btop++ v.1.4.0
2024/12/29 (15:32:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (15:33:15) | ===> btop++ v.1.4.0
2024/12/29 (15:33:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (20:35:50) | ===> btop++ v.1.4.0
2024/12/31 (20:35:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (13:54:13) | ===> btop++ v.1.4.0
2025/01/03 (13:54:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (19:04:52) | ===> btop++ v.1.4.0
2025/01/04 (19:04:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (19:45:26) | ===> btop++ v.1.4.0
2025/01/04 (19:45:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (19:08:34) | ===> btop++ v.1.4.0
2025/01/07 (19:08:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (20:22:54) | ===> btop++ v.1.4.0
2025/01/07 (20:22:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (19:55:12) | ===> btop++ v.1.4.0
2025/01/09 (19:55:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (20:46:27) | ===> btop++ v.1.4.0
2025/01/09 (20:46:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (10:35:23) | ===> btop++ v.1.4.0
2025/01/10 (10:35:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (10:41:24) | ===> btop++ v.1.4.0
2025/01/10 (10:41:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (20:54:41) | ===> btop++ v.1.4.0
2025/01/11 (20:54:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (20:58:51) | ===> btop++ v.1.4.0
2025/01/11 (20:58:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (20:59:11) | ===> btop++ v.1.4.0
2025/01/11 (20:59:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (23:05:09) | ===> btop++ v.1.4.0
2025/01/11 (23:05:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (23:06:43) | ===> btop++ v.1.4.0
2025/01/11 (23:06:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (23:37:55) | ===> btop++ v.1.4.0
2025/01/11 (23:37:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (23:35:52) | ===> btop++ v.1.4.0
2025/01/12 (23:35:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (23:45:26) | ===> btop++ v.1.4.0
2025/01/12 (23:45:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (23:10:51) | ===> btop++ v.1.4.0
2025/01/14 (23:10:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (21:05:17) | ===> btop++ v.1.4.0
2025/01/17 (21:05:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (23:33:53) | ===> btop++ v.1.4.0
2025/01/17 (23:33:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (22:33:02) | ===> btop++ v.1.4.0
2025/01/18 (22:33:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (22:17:53) | ===> btop++ v.1.4.0
2025/01/19 (22:17:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (22:52:03) | ===> btop++ v.1.4.0
2025/01/19 (22:52:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (15:42:48) | ===> btop++ v.1.4.0
2025/01/20 (15:42:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (18:14:02) | ===> btop++ v.1.4.0
2025/01/20 (18:14:02) | WARNING: Intel GPU: Failed to initialize PMU
